,State,County,City,datetime,Humidity,Temperature,Pressure,Wind_speed,Wind_direction,NO2 Mean,NO2 AQI,O3 Mean,O3 AQI,SO2 Mean,SO2 AQI,CO Mean,CO AQI
0,New Mexico,Bernalillo,Albuquerque,2012-10-01,48.90909090909091,12.326207751454573,1024.0,4.0,360.0,10.441667,21.0,0.037792,43.0,0.4833335,0.0,0.10739599999999999,2.0
1,New Mexico,Bernalillo,Albuquerque,2012-10-02,40.36363636363637,16.621820502750026,1022.7727272727273,3.1666666666666665,303.4583333333333,10.416667,29.0,0.029458,41.0,0.5562499999999999,0.0,0.1370205,2.0
2,New Mexico,Bernalillo,Albuquerque,2012-10-03,31.904761904761905,18.055416666666684,1021.6666666666666,2.9583333333333335,132.70833333333334,17.575,40.0,0.022042,32.0,0.875,4.0,0.248854,5.0
3,New Mexico,Bernalillo,Albuquerque,2012-10-04,19.681818181818183,19.94625000000002,1018.3181818181819,1.9166666666666667,144.54166666666666,18.6125,46.0,0.036542,44.0,0.8354165,3.0,0.208396,3.0
4,New Mexico,Bernalillo,Albuquerque,2012-10-05,18.25,19.679166666666692,1020.85,2.5833333333333335,225.875,12.504167,25.0,0.037125,39.0,0.6416664999999999,0.0,0.1216875,2.0
5,New Mexico,Bernalillo,Albuquerque,2012-10-06,19.238095238095237,19.73541666666669,1020.3181818181819,3.3333333333333335,228.5,8.854167,14.0,0.029875,37.0,0.5541665,0.0,0.09539600000000001,1.0
6,New Mexico,Bernalillo,Albuquerque,2012-10-07,29.695652173913043,15.614791666666692,1003.4166666666666,2.1666666666666665,151.33333333333334,10.761111,29.0,0.028458,35.0,0.540476,0.0,0.11354,2.0
7,New Mexico,Bernalillo,Albuquerque,2012-10-08,51.75,8.837500000000025,992.7391304347826,2.2916666666666665,189.625,19.2875,41.0,0.024292,37.0,0.7749999999999999,1.0,0.191708,3.0
8,New Mexico,Bernalillo,Albuquerque,2012-10-09,37.0,11.431666666666688,1020.2105263157895,1.25,138.66666666666666,17.570833,42.0,0.009167,15.0,0.7979164999999999,4.0,0.17795850000000002,3.0
9,New Mexico,Bernalillo,Albuquerque,2012-10-10,20.352941176470587,15.24666666666669,1006.3125,2.5416666666666665,164.91666666666666,16.5,35.0,0.007792,15.0,0.66875,1.0,0.1448125,2.0
10,New Mexico,Bernalillo,Albuquerque,2012-10-11,33.583333333333336,13.995833333333357,944.1666666666666,1.875,177.54166666666666,14.554545,29.0,0.003708,8.0,0.6925325,1.0,0.1513335,3.0
11,New Mexico,Bernalillo,Albuquerque,2012-10-12,31.0,14.907916666666686,1001.3636363636364,1.2916666666666667,122.625,10.766667,21.0,0.005042,11.0,0.5979165,1.0,0.1023545,2.0
12,New Mexico,Bernalillo,Albuquerque,2012-10-13,44.125,17.197916666666686,994.2608695652174,4.583333333333333,129.54166666666666,9.675,15.0,0.003,6.0,0.5125,0.0,0.09393750000000001,1.0
13,New Mexico,Bernalillo,Albuquerque,2012-10-14,37.77272727272727,10.631666666666689,1020.0,4.041666666666667,230.83333333333334,12.958333,24.0,0.001,1.0,0.4979165,0.0,0.129125,2.0
14,New Mexico,Bernalillo,Albuquerque,2012-10-15,46.18181818181818,11.400416666666688,1025.0,2.3333333333333335,211.125,16.4375,33.0,0.001917,3.0,0.5583335,0.0,0.137854,2.0
15,New Mexico,Bernalillo,Albuquerque,2012-10-16,34.0,13.29666666666669,1024.1739130434783,1.125,55.5,21.425,38.0,0.001375,3.0,1.0270834999999998,4.0,0.2396455,5.0
16,New Mexico,Bernalillo,Albuquerque,2012-10-17,31.375,15.129166666666691,1018.0625,2.0833333333333335,186.33333333333334,10.3125,18.0,0.005792,10.0,0.6479165,1.0,0.090833,2.0
17,New Mexico,Bernalillo,Albuquerque,2012-10-18,18.94736842105263,16.74208333333335,1014.0,4.208333333333333,197.33333333333334,13.020833,36.0,0.031417,36.0,0.7375,1.0,0.1242295,2.0
18,New Mexico,Bernalillo,Albuquerque,2012-10-19,8.1,14.602083333333354,1019.5833333333334,4.833333333333333,268.75,16.0625,40.0,0.02125,31.0,0.7604165,1.0,0.1992085,3.0
19,New Mexico,Bernalillo,Albuquerque,2012-10-20,14.958333333333334,14.809583333333356,1020.6666666666666,2.5833333333333335,192.5,21.604167,36.0,0.017292,29.0,0.8833335,3.0,0.222646,3.0
20,New Mexico,Bernalillo,Albuquerque,2012-10-21,11.529411764705882,14.952708333333357,991.9,0.4583333333333333,94.75,14.616667,34.0,0.027083,36.0,0.6690475,1.0,0.13588099999999997,3.0
21,New Mexico,Bernalillo,Albuquerque,2012-10-22,26.227272727272727,15.993125000000022,992.4545454545455,2.875,159.91666666666666,11.054545,27.0,0.023542,31.0,0.7479165,3.0,0.1401045,2.0
22,New Mexico,Bernalillo,Albuquerque,2012-10-23,31.176470588235293,14.885000000000026,1016.047619047619,2.25,145.75,14.05,38.0,0.022417,31.0,0.9291665,4.0,0.194396,5.0
